datetime,open,high,low,close,volume
2022-06-15 08:03:00,1090.0,1100.43,1063.43,1068.21,52382.91205
2022-06-15 08:35:00,1068.21,1079.29,1045.57,1075.07,176360.20569
2022-06-15 08:44:00,1075.07,1076.85,1050.79,1052.93,25309.8868
2022-06-15 08:54:00,1052.92,1054.7,1029.0,1030.47,54677.154370000004
2022-06-15 09:14:00,1030.46,1044.0,1018.29,1020.39,85440.61371
2022-06-15 10:17:00,1020.4,1040.96,1014.4,1040.28,165407.72139
2022-06-15 10:18:00,1040.96,1069.68,1040.26,1064.8,16592.8699
2022-06-15 10:25:00,1064.8,1079.79,1045.0,1048.75,48705.9344
2022-06-15 10:42:00,1048.76,1074.99,1048.75,1073.58,49586.404
2022-06-15 11:21:00,1073.57,1085.99,1050.29,1081.83,68983.3239
2022-06-15 11:29:00,1081.83,1107.37,1080.23,1104.89,30649.6627
2022-06-15 12:15:00,1104.89,1150.0,1103.21,1144.92,128130.3539
2022-06-15 12:19:00,1144.59,1148.59,1116.54,1119.41,21331.132700000002
2022-06-15 13:10:00,1119.49,1134.33,1106.25,1130.77,78907.49
2022-06-15 13:46:00,1130.76,1152.52,1122.04,1147.0,90017.2189
2022-06-15 14:15:00,1146.93,1164.0,1129.65,1129.88,75536.2671
2022-06-15 14:54:00,1130.02,1132.04,1093.66,1097.96,73679.9141
2022-06-15 15:47:00,1097.95,1125.84,1095.32,1122.28,70900.9119
2022-06-15 16:30:00,1122.27,1128.73,1098.5,1100.33,45069.4678
2022-06-15 16:39:00,1100.32,1104.58,1075.17,1077.14,28808.8977
2022-06-15 17:09:00,1077.14,1085.94,1060.0,1060.15,43842.5086
2022-06-15 17:15:00,1060.0,1084.18,1058.58,1081.79,15233.5396
2022-06-15 17:30:00,1081.79,1100.1,1063.83,1066.39,26928.4489
2022-06-15 17:52:00,1066.39,1088.64,1060.22,1088.21,29901.8959
2022-06-15 17:54:00,1088.2,1114.0,1087.81,1111.95,8286.7719
2022-06-15 18:02:00,1111.37,1135.0,1067.7,1100.35,56725.8998
2022-06-15 18:05:00,1100.35,1102.3,1071.22,1073.76,25835.090500000002
2022-06-15 18:10:00,1073.76,1079.3,1045.0,1050.49,39470.7353
2022-06-15 18:16:00,1051.06,1077.44,1046.52,1076.48,29541.877800000002
2022-06-15 18:27:00,1076.47,1108.86,1068.43,1093.4,35289.008
2022-06-15 18:32:00,1093.4,1098.62,1069.63,1072.51,20128.9552
2022-06-15 18:37:00,1072.51,1103.11,1070.95,1098.17,21985.703999999998
2022-06-15 18:38:00,1097.61,1124.59,1097.6,1124.09,10684.1353
2022-06-15 18:41:00,1123.1,1155.12,1107.42,1141.78,31345.5192
2022-06-15 18:43:00,1141.78,1174.38,1141.25,1174.05,22504.6
2022-06-15 18:45:00,1172.95,1227.29,1160.08,1201.46,36188.8823
2022-06-15 18:47:00,1203.07,1216.45,1165.0,1171.7,23353.9721
2022-06-15 18:52:00,1171.7,1199.0,1145.01,1157.68,48344.398
2022-06-15 18:55:00,1157.69,1187.68,1146.49,1182.91,26354.346299999997
2022-06-15 19:26:00,1182.92,1197.0,1158.5,1193.45,112718.664
2022-06-15 19:47:00,1193.45,1216.47,1181.15,1182.03,87842.2122
2022-06-15 20:18:00,1182.03,1185.26,1157.02,1158.58,45761.3949
2022-06-15 20:44:00,1158.58,1186.63,1153.12,1186.02,22285.4432
2022-06-15 21:37:00,1186.03,1207.19,1177.31,1204.75,39674.1125
2022-06-15 21:46:00,1204.75,1230.21,1203.94,1229.63,14471.0164
2022-06-15 22:51:00,1229.63,1250.0,1214.16,1216.9,114245.5983
2022-06-16 00:02:00,1217.13,1246.13,1214.01,1243.64,53718.5045
2022-06-16 00:44:00,1243.64,1257.85,1225.82,1228.64,63347.1478
2022-06-16 01:13:00,1228.64,1249.73,1222.85,1249.06,23122.9718
2022-06-16 01:47:00,1249.06,1256.17,1227.02,1227.63,32203.5881
2022-06-16 03:19:00,1227.64,1230.94,1204.08,1204.26,71372.5311
2022-06-16 04:47:00,1204.27,1218.62,1191.05,1193.15,67979.6263
2022-06-16 06:24:00,1193.14,1205.31,1177.8,1179.0,74768.9653
2022-06-16 07:36:00,1178.99,1184.43,1157.01,1159.13,57488.8434
2022-06-16 08:37:00,1159.13,1180.4,1154.04,1178.97,43779.2247
2022-06-16 09:05:00,1178.97,1179.62,1146.36,1149.32,26704.9867
2022-06-16 09:38:00,1149.33,1152.22,1122.66,1123.67,57983.564099999996
2022-06-16 10:29:00,1123.68,1133.0,1106.5,1109.04,54730.3051
2022-06-16 10:57:00,1109.26,1121.09,1093.71,1121.09,47792.255
2022-06-16 11:54:00,1121.02,1128.07,1101.84,1102.57,60162.333
2022-06-16 12:24:00,1102.71,1129.65,1098.65,1129.53,31046.5705
2022-06-16 12:46:00,1129.47,1153.0,1121.0,1123.19,47559.3619
2022-06-16 13:34:00,1123.19,1131.2,1104.0,1108.12,56714.460699999996
